"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"14","深圳金汇","0","-2","中原期货","0","0","鲁证期货","0","0"
"15","东证期货","0","-12","深圳金汇","0","0","长江期货","0","0"
"16","光大期货","0","0","国都期货","0","0","深圳金汇","0","0"
"17","东航期货","0","-10","东航期货","0","0","美尔雅","0","0"
"18","中信建投","0","0","中信建投","0","0","国都期货","0","-1"
"19","永安期货","0","0","永安期货","0","0","东航期货","0","0"
"合计","","8","-56","","12","-2","","12","-2"
"品种：硅铁SF     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","中信期货","10,284","4,403","国投安信期货","11,698","-1,841","中信期货","5,907","-585"
"2","新湖期货","8,590","4,830","中信期货","7,059","-2,389","摩根大通","5,545","-545"
"3","东证期货","6,285","2,711","弘业期货","4,649","-2,418","国投安信期货","5,176","316"
"4","弘业期货","4,419","1,897","华信期货","4,524","-101","华泰期货","3,629","-968"
"5","浙商期货","4,196","3,648","华泰期货","2,927","-13","东证期货","3,036","-921"
"6","国投安信期货","3,607","2,145","光大期货","2,493","-250","银河期货","2,806","-291"
"7","兴证期货","3,551","2,075","国泰君安","2,048","249","兴业期货","2,799","2,398"
"8","东吴期货","3,371","1,644","东吴期货","1,683","1,248","永安期货","2,597","152"
"9","华泰期货","2,999","1,356","兴证期货","1,565","443","弘业期货","2,383","119"
"10","兴业期货","2,669","2,415","中原期货","1,493","1","国泰君安","1,970","-485"
"11","申银万国","2,465","-16","广发期货","1,371","-138","中原期货","1,819","287"
"12","海通期货","2,464","442","海通期货","1,351","283","兴证期货","1,558","-1,314"
"13","光大期货","2,405","1,825","申银万国","1,340","-78","方正中期","1,455","-548"
"14","南华期货","2,277","1,558","东证期货","1,334","14","南华期货","1,405","44"
"15","徽商期货","2,169","933","宏源期货","1,290","708","一德期货","1,322","727"
"16","宏源期货","2,151","1,431","南华期货","1,130","151","中金期货","1,234","-8"
"17","国泰君安","2,136","755","上海中期","1,119","303","国信期货","1,223","-380"
"18","一德期货","1,947","1,617","国联期货","972","-1,058","中信建投","1,194","-78"
"19","永安期货","1,908","-78","天风期货","929","-471","国富期货","913","-57"
"20","国联期货","1,785","1,552","格林大华期货","920","-397","浙商期货","901","-256"
"合计","","71,678","37,143","","51,895","-5,754","","48,872","-2,393"
"品种：锰硅SM     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","19,558","3,984","中信期货","17,195","-1,426","中信期货","19,186","1,241"
